full_name,date_of_birth,time_of_birth,place_of_birth,astrosage_url,accuracy_rating,data_source
Salman Khan-1,"December 27, 1965",09:30:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/salman-khan-1-horoscope.asp,Reference,765 Notable Horoscopes
Virat Kohli,"November 05, 1988",10:28:00,Delhi,https://www.astrosage.com/celebrity-horoscope/virat-kohli-horoscope.asp,Dirty Data,Unknown
About Mohit Sharma/ Who is Mohit Sharma ?,"December 19, 1991",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/mohit-sharma-horoscope.asp,Dirty Data,Dirty Data
About Akshar Patel/ Who is Akshar Patel ?,"January 20, 1994",12:00:00,Anand,https://www.astrosage.com/celebrity-horoscope/akshar-patel-horoscope.asp,Dirty Data,Dirty Data
About Virendar Sehwag/ Who is Virendar Sehwag ?,"October 20, 1978",02:45:00,Delhi,https://www.astrosage.com/celebrity-horoscope/virendar-sehwag-horoscope.asp,Dirty Data,Dirty Data
About Ripal Patel/ Who is Ripal Patel ?,"September 28, 1995",12:00:00,Nadiad,https://www.astrosage.com/celebrity-horoscope/ripal-patel-horoscope.asp,Dirty Data,Dirty Data
About Vishnu Vinod/ Who is Vishnu Vinod ?,"December 2, 1993",12:00:00,Thirumangalam,https://www.astrosage.com/celebrity-horoscope/vishnu-vinod-horoscope.asp,Dirty Data,Dirty Data
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,https://www.astrosage.com/celebrity-horoscope/lukman-meriwala-horoscope.asp,Dirty Data,Dirty Data
About Tom Curran/ Who is Tom Curran ?,"March 12, 1995",12:00:00,Cape Town,https://www.astrosage.com/celebrity-horoscope/tom-curran-horoscope.asp,Dirty Data,Dirty Data
About Tushar Deshpande/ Who is Tushar Deshpande ?,"May 15, 1995",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/tushar-deshpande-horoscope.asp,Dirty Data,Dirty Data
About Alex Carey/ Who is Alex Carey ?,"August 27, 1991",12:00:00,loxton,https://www.astrosage.com/celebrity-horoscope/alex-carey-horoscope.asp,Dirty Data,Dirty Data
About Praveen Dubey/ Who is Praveen Dubey ?,"July 1, 1993",12:00:00,Azamgarh,https://www.astrosage.com/celebrity-horoscope/praveen-dubey-horoscope.asp,Dirty Data,Dirty Data
About Lalith Yadav/ Who is Lalith Yadav ?,"January 3, 1997",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/lalith-yadav-horoscope.asp,Dirty Data,Dirty Data
About Jagadeesha Suchith/ Who is Jagadeesha Suchith ?,"January 16, 1994",12:00:00,Mysore,https://www.astrosage.com/celebrity-horoscope/jagadeesha-suchith-horoscope.asp,Dirty Data,Dirty Data
