person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,Leo,Magha,Manoj Kumar Boxer,"December 10, 1986",12:00:00,Kaithal,Pisces,Purva Bhadrapada,0,0,1,3,5,0,0,8,17,0
About Daniel Sams/ Who is Daniel Sams ?,"October 27, 1992",12:00:00,Milperra,Libra,Chitra,About Utkarsh Singh/ Who is Utkarsh Singh ?,"May 7, 1998",12:00:00,Ranchi,Virgo,Uttara Phalguni,0,2,1,0,5,0,0,8,16,0
Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",Gemini,Mrigashira,Zaheer Khan,"October 07, 1978",12:00:00,Shrirampur,Scorpio,Vishakha,0,0,1,2,0,1,0,8,12,0
About Kyle Jamieson/ Who is Kyle Jamieson ?,"December 30, 1994",12:00:00,Auckland,Scorpio,Vishakha,Ciro Immobile,"February 20, 1990",12:00:00,"Torre Annunziata, Italy",Sagittarius,Mula,1,0,1,3,5,6,0,8,24,1
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,About Ravi Bishnoi/ Who is Ravi Bishnoi ?,"September 5, 2000",12:00:00,Jodhpur,Scorpio,Vishakha,0,0,1,3,0,0,7,0,11,0
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",Gemini,Mrigashira,1,1,1,2,0,5,7,8,25,1
About Yashasvi Jaiswal/ Who is Yashasvi Jaiswal ?,"December 28, 2001",12:00:00,Surianwan,Taurus,Krittika,Sourav Ganguly,"July 08, 1972",01:00:00,kolkata(india),Taurus,Krittika,1,2,3,4,5,6,7,0,28,1
Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,1,2,3,4,5,6,7,0,28,1
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,Sagittarius,Mula,Manandeep Singh,"November 03, 1992",12:00:00,Umra,Capricorn,Uttara Ashadha,1,1,1,3,3,0,0,8,17,0
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,1,1,1,3,5,5,0,0,16,0
About Imran Khan/ Who is Imran Khan ?,"October 5, 1952",06:45:00,Lahore,Aries,Ashwini,Salvatore Sirigu,"January 12, 1987",12:00:00,"Nuoro, Italy",Taurus,Krittika,1,2,1,2,3,1,0,8,18,1
Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,Scorpio,Vishakha,Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,Virgo,Uttara Phalguni,1,0,1,0,0,0,7,8,17,0
About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,Aquarius,Dhanishta,Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,0,1,1,3,0,1,7,8,21,1
About Tushar Deshpande/ Who is Tushar Deshpande ?,"May 15, 1995",12:00:00,Mumbai,Scorpio,Vishakha,About Pv Sindhu/ Who is Pv Sindhu ?,"July 5, 1995",12:00:00,Hyderabad,Virgo,Uttara Phalguni,1,0,1,0,0,0,7,8,17,0
About Ripal Patel/ Who is Ripal Patel ?,"September 28, 1995",12:00:00,Nadiad,Libra,Chitra,Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",Pisces,Purva Bhadrapada,0,1,1,2,0,0,0,8,12,0
About Sandeep Bavanaka/ Who is Sandeep Bavanaka ?,"April 25, 1992",12:00:00,Hyderabad,Capricorn,Uttara Ashadha,Mattia Perin,"November 10, 1992",12:00:00,Latina,Aries,Ashwini,0,2,1,2,0,5,7,8,25,1
Dhyan Chand,"August 29, 1905",02:00:00,Allahabad,Cancer,Punarvasu,Shivendra Singh,"June 09, 1983",12:00:00,Gwalior,Aries,Ashwini,1,1,1,3,4,6,7,0,23,1
Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,Phil Foden,"May 28, 2000",00:00:00,Manchester,Aquarius,Dhanishta,1,2,3,2,5,6,0,0,19,1
Chris Miller,"August 09, 1965",09:36:59,"117 W 45, 34 N 3",Sagittarius,Mula,Alberto Aquilani,"July 07, 1984",12:00:00,Rome,Libra,Chitra,1,2,1,3,0,6,7,8,28,1
About Marco Jansen/ Who is Marco Jansen ?,"May 1, 2000",12:00:00,klerksdorp,Pisces,Purva Bhadrapada,Phil Jackson,"September 17, 1945",17:39:59,"112 W 43, 46 N 22",Capricorn,Uttara Ashadha,1,1,1,2,3,6,7,8,29,1
